"gene","coef","pVal","Std.error","pVal_adj","qVal"
"PPFIBP1",-0.0223479744261592,0.972471031246567,0.647592919312799,0.991230417748256,0.991230417748256
"PRCC",-0.384277700592577,0.630183835812444,0.798137381389756,0.991230417748256,0.991230417748256
"PRDM16",0.174414064838188,0.648176548738815,0.382238175526406,0.991230417748256,0.991230417748256
"PRDM2",0.351497355048856,0.643658748330559,0.759847497092398,0.991230417748256,0.991230417748256
"PRF1",0.863989444683543,0.0862428007098653,0.503619799422323,0.991230417748256,0.991230417748256
"PRKCB",0.226763262822826,0.616801921198667,0.45317488759729,0.991230417748256,0.991230417748256
"PRPF40B",0.211068326339437,0.715662678230126,0.579441619401981,0.991230417748256,0.991230417748256
"PRRX1",-0.207056035924245,0.737521673129825,0.617824885245592,0.991230417748256,0.991230417748256
"PTPN11",-0.320704276316126,0.692346850814004,0.810530179000256,0.991230417748256,0.991230417748256
"PTPN6",-0.12334150502914,0.843979032621078,0.626714868227874,0.991230417748256,0.991230417748256
"PTPRB",0.521769619362576,0.110575567161447,0.327002927849118,0.991230417748256,0.991230417748256
"PTPRC",0.277516668408204,0.421939709318562,0.345573756856566,0.991230417748256,0.991230417748256
"RABEP1",-0.698245312472013,0.371923220272317,0.782017644000995,0.991230417748256,0.991230417748256
"RARA",-0.0914946027641083,0.884922476069899,0.632165695006445,0.991230417748256,0.991230417748256
"RB1",0.166008739488383,0.770195646602011,0.568291498863943,0.991230417748256,0.991230417748256
"RBM15",-0.444243203075859,0.584583154976903,0.812586781767043,0.991230417748256,0.991230417748256
"RET",0.0638150663045818,0.896186433453253,0.489078142398699,0.991230417748256,0.991230417748256
"RFWD3",0.0168535198521424,0.979477858495891,0.655179208860972,0.991230417748256,0.991230417748256
"RGS7",-0.399346950446775,0.50413952960347,0.597833100148695,0.991230417748256,0.991230417748256
"RIT1",-0.271385776600295,0.741411372106025,0.822418774350692,0.991230417748256,0.991230417748256
"RMI2",-0.472174059008119,0.569748323848892,0.830674917514868,0.991230417748256,0.991230417748256
"RNF111",0.318035999068448,0.540009189895737,0.518989016288319,0.991230417748256,0.991230417748256
"RPL5",0.350390706559195,0.64464498529807,0.759713729450841,0.991230417748256,0.991230417748256
"RRAS2",-0.0444037331123339,0.961810377778915,0.927359785313371,0.991230417748256,0.991230417748256
"SDHB",0.452679458057143,0.570888051992066,0.798736952576429,0.991230417748256,0.991230417748256
"SDHC",-0.0428175160162241,0.963205534947743,0.92816464527318,0.991230417748256,0.991230417748256
"SETD1B",-0.536909600098646,0.30077889103524,0.518871283261409,0.991230417748256,0.991230417748256
"SETDB1",-0.511651932316722,0.392272815116077,0.598071554201065,0.991230417748256,0.991230417748256
"SF1",-0.535543531282286,0.493542608474132,0.782174865002443,0.991230417748256,0.991230417748256
"SFPQ",-0.815574008091783,0.208698068753308,0.648746575647526,0.991230417748256,0.991230417748256
"SH2B3",0.0269252927731223,0.962340512076653,0.57024927104205,0.991230417748256,0.991230417748256
"SIN3A",0.0376154778900837,0.938301464930772,0.485957496006762,0.991230417748256,0.991230417748256
"SIX1",-0.656050027244153,0.400383348046841,0.780141904833795,0.991230417748256,0.991230417748256
"SKI",-0.582255745111644,0.460563127232996,0.789050068259681,0.991230417748256,0.991230417748256
"SLC45A3",-0.0272082347350896,0.966446263669766,0.646802175648745,0.991230417748256,0.991230417748256
"SMAD3",0.664537872697733,0.245619671209799,0.572357094915746,0.991230417748256,0.991230417748256
"SMARCD1",-0.319798990643756,0.693034286262111,0.810149590828113,0.991230417748256,0.991230417748256
"SMARCE1",-0.319441459737585,0.693291694840847,0.809959405290488,0.991230417748256,0.991230417748256
"SMC3",0.150537787919578,0.791852813390443,0.570423292144601,0.991230417748256,0.991230417748256
"SNX29",0.0986596040502775,0.839611714903021,0.487472318880464,0.991230417748256,0.991230417748256
"SOX21",-0.973109312755703,0.233520638782777,0.8168200155354,0.991230417748256,0.991230417748256
"SPECC1",-0.178252975593426,0.732365061628569,0.521236226618795,0.991230417748256,0.991230417748256
"SPEN",-0.0699487178566401,0.856536365344067,0.386916678071728,0.991230417748256,0.991230417748256
"SPTA1",0.271600632229742,0.273829619813001,0.248198975508406,0.991230417748256,0.991230417748256
"STAT3",0.20279673140088,0.685546454501766,0.500848658494497,0.991230417748256,0.991230417748256
"STAT5B",-0.858957959084742,0.278562056830636,0.792721909420231,0.991230417748256,0.991230417748256
"STAT6",-0.399988064186698,0.503497661735798,0.597892542590076,0.991230417748256,0.991230417748256
"STIL",0.209457665294999,0.680161625536501,0.50809322469205,0.991230417748256,0.991230417748256
"SUFU",0.508090064075973,0.428079554779134,0.641137493103263,0.991230417748256,0.991230417748256
"SUZ12",0.737898696330765,0.206187154860435,0.583725449109103,0.991230417748256,0.991230417748256
"TAF15",1.49601442763839,0.0649176266409675,0.81048553798899,0.991230417748256,0.991230417748256
"TAL1",0.0895637898523053,0.899921627587655,0.712178273300096,0.991230417748256,0.991230417748256
"TBX3",0.685843558923642,0.0880881814444444,0.402119869573901,0.991230417748256,0.991230417748256
"TCF12",0.806085940845959,0.255484254647154,0.708878023702025,0.991230417748256,0.991230417748256
"TCL1A",-0.131813764604362,0.880724688817655,0.878462056930531,0.991230417748256,0.991230417748256
"TET1",0.165358923176073,0.644599906246129,0.358480770205358,0.991230417748256,0.991230417748256
"THRAP3",-0.437192390628098,0.581511410135338,0.793195849251409,0.991230417748256,0.991230417748256
"TLX1",-0.409696658076696,0.608715522050407,0.800332870048096,0.991230417748256,0.991230417748256
"TNFRSF14",0.683126299870968,0.315853007262597,0.681071997270059,0.991230417748256,0.991230417748256
"TNFRSF17",0.0574744553781848,0.931142543888026,0.665156434053582,0.991230417748256,0.991230417748256
"TPM3",-0.655921473521776,0.400206031883781,0.779695548214699,0.991230417748256,0.991230417748256
"TPR",-0.105713093762426,0.811804370334376,0.443988123076046,0.991230417748256,0.991230417748256
"TRAF3",-0.738106087256733,0.346198472459726,0.783561585654597,0.991230417748256,0.991230417748256
"TRAF7",0.283497453686559,0.631783296642805,0.5915830431971,0.991230417748256,0.991230417748256
"TRIM33",-0.323157566665111,0.591693072477124,0.602474098373694,0.991230417748256,0.991230417748256
"TSC2",-0.014786379080098,0.978130002242841,0.53938487822491,0.991230417748256,0.991230417748256
"TSHR",0.231410693112949,0.646603910839602,0.504728845418472,0.991230417748256,0.991230417748256
"TXNIP",0.05722905006066,0.931455666664844,0.665349442275328,0.991230417748256,0.991230417748256
"USP44",0.13162971581651,0.814890418789561,0.562227495770019,0.991230417748256,0.991230417748256
"USP6",-0.0403615343455969,0.939993725122173,0.53616819028685,0.991230417748256,0.991230417748256
"USP8",-0.642374455364336,0.412236239597539,0.783417221665953,0.991230417748256,0.991230417748256
"VTI1A",-0.272433944936581,0.740378757676238,0.822189387106243,0.991230417748256,0.991230417748256
"WIF1",0.0181628396782274,0.977880414517242,0.655075241657915,0.991230417748256,0.991230417748256
